userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
2.0,4.0,23.0,1711.0,1962.0,217.0,0.86,34.0,10.0,1900.0,613.0,6507.0,4.31,0.0,0.16,1.0,203.0
2.0,4.0,24.0,1708.0,1918.0,192.0,0.91,18.0,9.0,2611.0,1469.0,17043.0,11.3,11.0,0.33,1.0,88.0
2.0,4.0,25.0,939.0,1213.0,264.0,0.96,10.0,15.0,2382.0,1217.0,9704.0,6.43,5.0,0.35,1.0,227.0
2.0,4.0,26.0,1532.0,1892.0,315.0,0.88,45.0,23.0,2398.0,1227.0,12591.0,8.35,6.0,0.24,0.0,0.0
2.0,4.0,27.0,2026.0,2131.0,100.0,0.95,5.0,2.0,2047.0,802.0,8649.0,5.73,14.0,0.21,2.0,161.0
2.0,4.0,28.0,1583.2,1823.2,217.6,0.912,22.4,11.8,2079.0,820.0,6239.0,4.14,9.0,0.17,1.0,135.8
2.0,4.0,29.0,1612.0,2029.0,368.0,0.88,49.0,21.0,1819.0,529.0,4831.0,3.2,0.0,0.11,0.0,0.0
2.0,4.0,30.0,1228.0,1425.0,171.0,0.87,26.0,15.0,1988.0,713.0,7026.0,4.66,8.0,0.22,0.0,0.0
2.0,5.0,1.0,1481.0,2180.0,620.0,0.89,79.0,33.0,2476.0,1308.0,13105.0,8.69,9.0,0.22,0.0,0.0
2.0,5.0,2.0,1849.0,2123.0,241.0,0.88,33.0,20.0,1906.0,611.0,4789.0,3.18,1.0,0.23,0.0,0.0
2.0,5.0,3.0,894.0,1137.0,213.0,0.88,30.0,11.0,2119.0,881.0,8731.0,5.79,8.0,0.23,1.0,133.0
2.0,5.0,4.0,1205.0,1831.0,564.0,0.9,62.0,32.0,1973.0,715.0,6177.0,4.1,10.0,0.16,0.0,0.0
2.0,5.0,5.0,1511.0,1888.0,338.0,0.9,39.0,20.0,2771.0,1707.0,17347.0,11.5,22.0,0.5,0.0,0.0
2.0,5.0,6.0,1655.0,2093.0,404.0,0.92,34.0,20.0,2238.0,1068.0,8908.0,5.91,9.0,0.26,0.0,0.0
2.0,5.0,7.0,1736.0,1939.0,167.0,0.82,36.0,12.0,2130.0,917.0,11197.0,7.42,5.0,0.22,0.0,0.0
2.0,5.0,8.0,1478.0,1948.0,426.0,0.91,44.0,32.0,2481.0,1346.0,14103.0,9.35,7.0,0.25,0.0,0.0
2.0,5.0,9.0,1623.0,1957.0,294.0,0.88,40.0,15.0,2154.0,916.0,9215.0,6.11,9.0,0.23,0.0,0.0
2.0,5.0,10.0,1172.0,1301.0,121.0,0.94,8.0,1.0,2422.0,1268.0,14547.0,9.64,16.0,0.3,1.0,118.0
2.0,5.0,11.0,1434.0,2041.0,555.0,0.91,52.0,29.0,2194.0,1024.0,11203.0,7.43,7.0,0.22,0.0,0.0
2.0,5.0,12.0,1650.0,1970.0,284.0,0.89,36.0,13.0,1557.0,202.0,1212.0,0.8,0.0,0.09,0.0,0.0
2.0,5.0,13.0,1921.0,2138.0,196.0,0.9,21.0,6.0,2545.0,1432.0,16636.0,11.06,15.0,0.3,0.0,0.0
2.0,5.0,14.0,1369.0,1793.0,388.0,0.92,36.0,18.0,2393.0,1185.0,8443.0,5.6,11.0,0.26,0.0,0.0
2.0,5.0,15.0,1513.0,2163.0,585.0,0.9,65.0,29.0,1973.0,683.0,7481.0,4.96,6.0,0.16,0.0,0.0
2.0,5.0,16.0,1712.0,1947.0,200.0,0.85,35.0,16.0,1892.0,622.0,5801.0,3.85,5.0,0.21,1.0,124.0
2.0,5.0,17.0,1461.0,1922.0,398.0,0.86,63.0,22.0,2079.0,808.0,8167.0,5.41,17.0,0.18,0.0,0.0
2.0,5.0,18.0,1697.0,1894.0,174.0,0.88,23.0,7.0,2187.0,945.0,6709.0,4.45,0.0,0.2,0.0,0.0
2.0,5.0,19.0,1510.0,2081.0,518.0,0.91,53.0,21.0,3222.0,2226.0,20443.0,13.55,39.0,0.38,0.0,0.0
2.0,5.0,20.0,1574.0,1892.0,250.0,0.79,68.0,9.0,1758.0,453.0,4950.0,3.28,2.0,0.15,0.0,0.0
2.0,5.0,21.0,1450.0,2125.0,616.0,0.91,59.0,32.0,2307.0,1121.0,11524.0,7.64,8.0,0.25,0.0,0.0
2.0,5.0,22.0,1699.0,1893.0,172.0,0.89,22.0,11.0,1603.0,243.0,2311.0,1.53,0.0,0.1,0.0,0.0
2.0,5.0,23.0,922.0,1181.0,221.0,0.85,38.0,17.0,2154.0,877.0,8452.0,5.6,3.0,0.22,1.0,163.0
2.0,5.0,24.0,999.0,1266.0,228.0,0.85,39.0,15.0,1840.0,533.0,4296.0,2.85,4.0,0.14,1.0,190.0
2.0,5.0,25.0,1632.0,1898.0,217.0,0.82,49.0,15.0,2433.0,1234.0,9777.0,6.48,5.0,0.26,2.0,230.0
2.0,5.0,26.0,1887.0,2128.0,211.0,0.88,30.0,8.0,2109.0,832.0,7529.0,4.99,12.0,0.18,0.0,0.0
2.0,5.0,27.0,1534.0,1892.0,299.0,0.84,59.0,13.0,1751.0,418.0,3642.0,2.41,0.0,0.1,0.0,0.0
2.0,5.0,28.0,1475.0,1954.0,430.0,0.9,49.0,27.0,2273.0,979.0,7592.0,5.07,6.0,0.2,0.0,0.0
2.0,5.0,29.0,1577.0,1965.0,341.0,0.88,47.0,17.0,1844.0,527.0,5250.0,3.48,2.0,0.15,0.0,0.0
2.0,5.0,30.0,1754.0,1960.0,177.0,0.86,29.0,9.0,2299.0,1054.0,11640.0,7.72,8.0,0.23,0.0,0.0
