userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
2,5,9,1623,1957,294,0.8802,40,15,2154,916,9215,6.11,9,0.2286,0,0
2,5,10,1172,1301,121,0.938,8,1,2422,1268,14547,9.64,16,0.2996,1,118
2,5,11,1434,2041,555,0.9143,52,29,2194,1024,11203,7.43,7,0.2217,0,0
2,5,12,1650,1970,284,0.8875,36,13,1557,202,1212,0.8,0,0.0935,0,0
2,5,13,1921,2138,196,0.9032,21,6,2545,1432,16636,11.06,15,0.3042,0,0
2,5,14,1369,1793,388,0.9151,36,18,2393,1185,8443,5.6,11,0.2574,0,0
2,5,15,1513,2163,585,0.9,65,29,1973,683,7481,4.96,6,0.1603,0,0
2,5,16,1712,1947,200,0.8511,35,16,1892,622,5801,3.85,5,0.2124,1,124
2,5,17,1461,1922,398,0.8633,63,22,2079,808,8167,5.41,17,0.1844,0,0
2,5,18,1697,1894,174,0.8832,23,7,2187,945,6709,4.45,0,0.2041,0,0
2,5,19,1510,2081,518,0.9072,53,21,3222,2226,20443,13.55,39,0.3834,0,0
2,5,20,1574,1892,250,0.7862,68,9,1758,453,4950,3.28,2,0.1494,0,0
2,5,21,1450,2125,616,0.9126,59,32,2307,1121,11524,7.64,8,0.2467,0,0
2,5,22,1699,1893,172,0.8866,22,11,1603,243,2311,1.53,0,0.0979,0,0
2,5,23,922,1181,221,0.8533,38,17,2154,877,8452,5.6,3,0.2168,1,163
2,5,24,999,1266,228,0.8539,39,15,1840,533,4296,2.85,4,0.1408,1,190
2,5,25,1632,1898,217,0.8158,49,15,2433,1234,9777,6.48,5,0.256,2,230
2,5,26,1887,2128,211,0.8755,30,8,2109,832,7529,4.99,12,0.176,0,0
2,5,27,1534,1892,299,0.8352,59,13,1751,418,3642,2.41,0,0.1008,0,0
2,5,28,1475,1954,430,0.8977,49,27,2273,979,7592,5.07,6,0.1985,0,0
2,5,29,1577,1965,341,0.8789,47,17,1844,527,5250,3.48,2,0.1476,0,0
2,5,30,1754,1960,177,0.8592,29,9,2299,1054,11640,7.72,8,0.227,0,0
2,5,31,1346,2030,618,0.9035,66,47,2145,888,9930,6.58,7,0.1733,0,0
2,6,1,1788,1892,97,0.9327,3,1,2419,1230,10797,7.16,4,0.3738,0,0
2,6,2,998,1155,143,0.9108,14,1,2177,922,6783,4.5,0,0.1729,1,130
2,6,3,1498,1893,357,0.9038,38,17,2067,803,6082,4.03,1,0.1668,1,82
3,4,23,1460,2076,539,0.875,77,24,1733,61,351,0.24,0,0.023,0,0
3,4,24,1546,1945,365,0.9148,34,16,1835,176,1247,0.86,0,0.0752,0,0
3,4,25,1441,1930,424,0.8671,65,25,2121,595,12530,9.23,10,0.1564,0,0
3,4,26,1519,1951,385,0.8912,47,20,2169,715,9751,6.76,8,0.2332,0,0
3,4,27,1454,1858,323,0.7995,81,17,1881,256,4788,3.37,3,0.0733,0,0
3,4,28,1610,1975,330,0.9041,35,15,2296,997,18169,12.63,63,0.3472,0,0
3,4,29,1511,2003,438,0.8902,54,20,2076,517,6263,4.42,1,0.1357,0,0
3,4,30,1484,2020,466,0.8694,70,24,1707,13,27,0.02,0,0.0053,0,0
3,5,1,1457,2009,490,0.8877,62,28,1739,24,96,0.07,0,0.0088,0,0
3,5,2,1419,1924,424,0.8396,81,25,2534,877,9160,6.63,13,0.1485,0,0
3,5,3,1521,2010,414,0.8466,75,22,2333,631,4861,3.5,1,0.1474,0,0
3,5,4,1515,1914,366,0.9173,33,21,2507,858,9063,6.37,10,0.1418,0,0
3,5,5,1534,1980,390,0.8744,56,23,2098,394,2187,1.52,0,0.0864,0,0
3,5,6,1522,1993,427,0.9066,44,27,1744,29,131,0.09,0,0.009,0,0
3,5,7,1469,1917,395,0.8817,53,25,2093,311,1489,1.03,1,0.0732,0,0
3,5,8,1444,2057,582,0.9494,16,0,2306,577,4166,2.92,7,0.1299,0,0
3,5,9,1437,1892,395,0.8681,60,20,2576,900,7889,5.47,9,0.1582,0,0
3,5,10,1435,1877,381,0.862,61,23,3093,1620,12876,9.01,45,0.3032,0,0
3,5,11,1464,2018,502,0.9061,52,25,2634,1011,9981,7.03,6,0.1832,0,0
3,5,12,1525,1945,348,0.8286,72,23,1768,62,315,0.22,0,0.0192,0,0
3,5,13,1455,1989,479,0.897,55,27,2142,504,5314,4.4,2,0.0754,0,0
3,5,14,1506,1939,383,0.8845,50,20,2944,1379,12759,9.18,8,0.2459,0,0
3,5,15,1470,1983,428,0.8343,85,21,2436,853,7771,5.64,4,0.128,0,0
3,5,16,1443,1915,395,0.8369,77,26,2853,1168,10044,7.06,9,0.2015,0,0
3,5,17,1444,2009,501,0.8867,64,32,2654,1096,12211,8.46,10,0.162,0,0
3,5,18,1521,1993,412,0.8729,60,28,2140,323,1529,1.06,0,0.0833,0,0
3,5,19,1556,2013,376,0.8228,81,19,2251,574,6068,4.46,11,0.0898,0,0
3,5,20,1542,2126,503,0.8613,81,26,2330,685,6432,4.79,2,0.123,0,0
3,5,21,1471,1983,465,0.9082,47,31,2529,880,8503,5.98,11,0.1844,0,0
3,5,22,1444,1861,364,0.8729,53,26,2494,836,7166,5.29,2,0.1518,0,0
3,5,23,1471,1968,456,0.9175,41,18,2817,1231,12603,8.73,19,0.1963,0,0
3,5,24,1485,1958,408,0.8626,65,21,1828,133,477,0.33,0,0.0434,0,0
3,5,25,1392,2019,556,0.8868,71,34,3192,1621,16455,11.4,8,0.2541,0,0
3,5,26,1560,2043,436,0.9027,47,28,2250,449,2850,1.98,0,0.113,0,0
3,5,27,1500,1982,431,0.8942,51,29,2053,209,568,0.39,0,0.0543,0,0
3,5,28,1537,2034,422,0.8491,75,28,2386,664,6103,4.23,4,0.1189,0,0
3,5,29,1467,2006,487,0.9035,52,25,2128,380,1631,1.13,0,0.0922,0,0
3,5,30,1472,1890,361,0.8636,57,24,2930,1293,11945,8.42,24,0.2273,0,0
3,5,31,1510,1943,374,0.8637,59,20,1723,2,0,0,0,0.001,0,0
3,6,1,1486,1979,436,0.8844,57,30,2375,648,5983,4.15,6,0.119,0,0
3,6,2,1496,2005,448,0.8802,61,29,2108,357,2345,1.67,0,0.0844,0,0
3,6,3,1529,2040,472,0.9237,39,28,1743,28,142,0.1,0,0.0086,0,0
5,4,23,1596,2043,402,0.8993,45,27,1542,546,9085,5.87,25,0.1847,0,0
5,4,24,1656,1948,269,0.9212,23,21,1599,614,9916,6.31,23,0.2188,1,60
5,4,25,1728,2011,260,0.9187,23,13,1649,676,12691,8.11,15,0.206,1,102
5,4,26,1773,2064,241,0.8282,50,21,1774,837,11837,7.72,23,0.2375,1,213
5,4,27,1599,2204,513,0.8479,92,42,1197,103,1139,0.72,3,0.049,0,0
5,4,28,1776,2038,216,0.8244,46,15,1411,379,6291,3.98,12,0.1567,0,0
5,4,29,1692,1952,236,0.9077,24,18,1597,610,10561,6.67,8,0.1954,1,109
5,4,30,1735,2025,244,0.8414,46,20,1510,494,7843,5,14,0.16,1,115
5,5,1,1630,1945,266,0.8444,49,16,1486,446,7264,4.59,21,0.1614,1,210
5,5,2,1708,2018,278,0.8968,32,27,1468,434,7306,4.62,13,0.1293,1,88
5,5,3,1735,2100,324,0.8877,41,24,1666,712,10486,6.63,30,0.2308,0,0
5,5,4,1772,2092,285,0.8906,35,24,1601,622,9853,6.23,25,0.2035,0,0
5,5,5,1750,1995,219,0.8939,26,22,1436,416,5256,3.32,2,0.1686,1,129
5,5,6,-1,-1,-1,-1,-1,-1,1113,4,36,0.02,0,0.0017,-1,-1
5,5,7,1352,2021,582,0.87,87,51,1112,7,97,0.06,0,0.0021,0,0
5,5,8,1601,1932,295,0.8912,36,24,1593,583,8742,5.57,19,0.2565,0,0
5,5,9,1732,2016,256,0.9014,28,22,1718,762,13393,8.56,24,0.218,1,195
5,5,10,1700,2033,289,0.8679,44,24,1668,691,11780,7.54,20,0.25,0,0
5,5,11,1766,2090,278,0.858,46,22,1559,586,8286,5.34,5,0.2163,1,78
5,5,12,1683,2330,578,0.8934,69,53,1323,266,3686,2.33,7,0.1,1,78
5,5,13,1748,1955,187,0.9034,20,10,1257,168,2549,1.61,3,0.0781,0,0
5,5,14,1349,2044,585,0.8417,110,50,1642,650,10274,6.73,19,0.1874,1,92
5,5,15,1572,2032,399,0.8674,61,39,1567,551,9127,5.77,17,0.2359,0,0
5,5,16,1709,2043,283,0.8473,51,32,1383,341,5190,3.28,6,0.1233,0,0
5,5,17,1626,1941,271,0.8603,44,28,1722,767,12015,7.59,19,0.2394,0,0
5,5,18,1695,2194,442,0.8858,57,32,1454,467,4810,3.09,2,0.1994,1,117
5,5,19,1678,1943,236,0.8906,29,15,1508,514,9666,6.11,8,0.1762,0,0
5,5,20,1629,1939,264,0.8516,46,22,1430,412,5288,3.34,9,0.1491,1,96
5,5,21,1569,1943,331,0.885,43,25,1606,611,4733,3.12,9,0.1698,1,89
5,5,22,1587,1940,324,0.9178,29,22,1221,138,592,0.37,1,0.039,0,0
5,5,23,1938,2239,269,0.8937,32,25,1493,471,9422,5.95,15,0.1458,1,106
5,5,24,1786,2300,437,0.8502,77,40,1222,123,1609,1.02,3,0.0479,1,90
5,5,25,1798,2299,439,0.8762,62,42,1360,314,4735,2.99,7,0.1219,0,0
5,5,26,1737,2087,304,0.8686,46,29,1196,95,724,0.46,0,0.0479,0,0
5,5,27,1598,1948,289,0.8257,61,23,1667,675,11424,7.22,8,0.2016,0,0
5,5,28,1758,2019,234,0.8966,27,28,1376,328,5500,3.48,11,0.1169,1,128
5,5,29,1729,2055,288,0.8834,38,27,1503,494,7863,4.97,15,0.1602,1,65
5,5,30,1776,2166,337,0.8641,53,28,1547,537,9102,5.85,21,0.165,0,0
5,5,31,1777,2243,369,0.7918,97,29,1422,387,4963,3.18,9,0.137,0,0
5,6,1,1782,2212,373,0.8674,57,41,1250,158,1956,1.24,0,0.0667,0,0
5,6,2,1762,2201,362,0.8246,77,31,1353,296,4645,2.94,8,0.1048,0,0
5,6,3,-1,-1,-1,-1,-1,-1,1415,368,5581,3.53,3,0.1337,-1,-1
7,4,23,1506,1790,231,0.8134,53,30,2575,1184,7799,5.25,10,0.2097,0,0
7,4,24,1484,1838,296,0.8362,58,37,2335,917,8317,5.92,15,0.1685,0,0
7,4,25,1558,1829,222,0.8192,49,21,2960,1602,12080,8.25,28,0.2833,0,0
7,4,26,-1,-1,-1,-1,-1,-1,3022,1706,14878,10.38,35,0.2983,-1,-1
7,4,27,-1,-1,-1,-1,-1,-1,2257,749,6019,4.2,16,0.1096,-1,-1
7,4,28,1730,2106,298,0.7926,78,29,3203,1917,10322,7.2,21,0.2929,0,0
7,4,29,1546,1871,272,0.8369,53,32,2984,1737,9562,6.51,17,0.3709,0,0
7,4,30,1704,1989,226,0.793,59,24,3033,1725,12874,8.85,29,0.2912,0,0
7,5,1,-1,-1,-1,-1,-1,-1,2233,795,4903,3.37,9,0.1566,-1,-1
7,5,2,1534,1907,297,0.7962,76,35,2814,1421,9941,6.68,26,0.1742,0,0
7,5,3,1485,1775,244,0.8414,46,28,2453,1015,8453,5.76,20,0.2051,0,0
7,5,4,1841,2058,186,0.8571,31,20,2830,1444,11777,8.22,28,0.2824,0,0
7,5,5,-1,-1,-1,-1,-1,-1,3040,1700,7955,5.13,14,0.3235,-1,-1
7,5,6,1590,2034,351,0.7905,93,38,2637,1263,8251,5.75,7,0.2144,0,0
7,5,7,1551,1975,351,0.8278,73,39,2592,1297,9570,6.72,1,0.318,0,0
7,5,8,1556,1930,312,0.8342,62,29,2120,608,3494,2.44,5,0.1672,0,0
7,5,9,1523,1876,303,0.8584,50,34,2511,1073,7372,4.97,16,0.1837,0,0
7,5,10,1719,1928,168,0.8038,41,21,2371,926,7572,5.29,29,0.182,0,0
7,5,11,1801,2060,202,0.7799,57,23,2583,1179,9848,6.88,19,0.168,0,0
7,5,12,1921,2200,228,0.8172,51,21,2454,1037,5818,3.99,8,0.2056,0,0
7,5,13,1280,1623,264,0.7697,79,32,2688,1198,9745,6.77,8,0.2272,1,167
7,5,14,1552,1885,283,0.8498,50,32,2619,1261,8633,5.89,16,0.2735,0,0
7,5,15,1557,1908,296,0.8433,55,38,2642,1322,9999,6.98,19,0.2735,0,0
7,5,16,1625,1877,210,0.8333,42,23,2683,1309,10426,7.29,46,0.2771,0,0
7,5,17,1534,1718,149,0.8098,35,15,2282,841,7516,5.25,15,0.169,1,71
7,5,18,1512,1824,275,0.8814,37,22,1994,558,3764,2.63,1,0.1559,1,191
7,5,19,-1,-1,-1,-1,-1,-1,1736,182,792,0.55,0,0.0531,-1,-1
7,5,20,1543,1988,386,0.8674,59,25,1823,338,3032,2.12,5,0.0611,0,0
7,5,21,1559,1912,304,0.8612,49,36,1707,180,733,0.51,0,0.0633,0,0
7,5,22,1560,1848,249,0.8646,39,27,1900,399,2153,1.5,2,0.1057,0,0
7,5,23,1651,1825,143,0.8218,31,2,1666,126,540,0.38,1,0.039,0,0
7,5,24,1663,1889,204,0.9027,22,22,1910,370,1912,1.33,0,0.09,0,0
7,5,25,-1,-1,-1,-1,-1,-1,2201,754,6503,4.53,10,0.1465,-1,-1
7,5,26,1682,1937,212,0.8314,43,21,2012,547,2233,1.4,0,0.0743,0,0
