userId,month,date,sleep_start_time,sleep_end_time,sleep_min,sleep_efficiency,awaken_min,awaken_moments,cal_consume,active_cal,walks,distance,stairs,active_ratio,nap_total_freq,nap_total_time
2,5,17,1461,1922,398,0.86,63,22,2079,808,8167,5.41,17,0.18,0,0
2,5,18,1697,1894,174,0.88,23,7,2187,945,6709,4.45,0,0.2,0,0
2,5,19,1510,2081,518,0.91,53,21,3222,2226,20443,13.55,39,0.38,0,0
2,5,20,1574,1892,250,0.79,68,9,1758,453,4950,3.28,2,0.15,0,0
2,5,21,1450,2125,616,0.91,59,32,2307,1121,11524,7.64,8,0.25,0,0
2,5,22,1699,1893,172,0.89,22,11,1603,243,2311,1.53,0,0.1,0,0
2,5,23,922,1181,221,0.85,38,17,2154,877,8452,5.6,3,0.22,1,163
2,5,24,999,1266,228,0.85,39,15,1840,533,4296,2.85,4,0.14,1,190
2,5,25,1632,1898,217,0.82,49,15,2433,1234,9777,6.48,5,0.26,2,230
2,5,26,1887,2128,211,0.88,30,8,2109,832,7529,4.99,12,0.18,0,0
2,5,27,1534,1892,299,0.84,59,13,1751,418,3642,2.41,0,0.1,0,0
2,5,28,1475,1954,430,0.9,49,27,2273,979,7592,5.07,6,0.2,0,0
2,5,29,1577,1965,341,0.88,47,17,1844,527,5250,3.48,2,0.15,0,0
2,5,30,1754,1960,177,0.86,29,9,2299,1054,11640,7.72,8,0.23,0,0
2,5,31,1346,2030,618,0.9,66,47,2145,888,9930,6.58,7,0.17,0,0
2,6,1,1788,1892,97,0.93,3,1,2419,1230,10797,7.16,4,0.37,0,0
2,6,2,998,1155,143,0.91,14,1,2177,922,6783,4.5,0,0.17,1,130
2,6,3,1498,1893,357,0.9,38,17,2067,803,6082,4.03,1,0.17,1,82
3,4,23,1460,2076,539,0.88,77,24,1733,61,351,0.24,0,0.02,0,0
3,4,24,1546,1945,365,0.91,34,16,1835,176,1247,0.86,0,0.08,0,0
3,4,25,1441,1930,424,0.87,65,25,2121,595,12530,9.23,10,0.16,0,0
3,4,26,1519,1951,385,0.89,47,20,2169,715,9751,6.76,8,0.23,0,0
3,4,27,1454,1858,323,0.8,81,17,1881,256,4788,3.37,3,0.07,0,0
3,4,28,1610,1975,330,0.9,35,15,2296,997,18169,12.63,63,0.35,0,0
3,4,29,1511,2003,438,0.89,54,20,2076,517,6263,4.42,1,0.14,0,0
3,4,30,1484,2020,466,0.87,70,24,1707,13,27,0.02,0,0.01,0,0
3,5,1,1457,2009,490,0.89,62,28,1739,24,96,0.07,0,0.01,0,0
3,5,2,1419,1924,424,0.84,81,25,2534,877,9160,6.63,13,0.15,0,0
3,5,3,1521,2010,414,0.85,75,22,2333,631,4861,3.5,1,0.15,0,0
3,5,4,1515,1914,366,0.92,33,21,2507,858,9063,6.37,10,0.14,0,0
3,5,5,1534,1980,390,0.87,56,23,2098,394,2187,1.52,0,0.09,0,0
3,5,6,1522,1993,427,0.91,44,27,1744,29,131,0.09,0,0.01,0,0
3,5,7,1469,1917,395,0.88,53,25,2093,311,1489,1.03,1,0.07,0,0
3,5,8,1444,2057,582,0.95,16,0,2306,577,4166,2.92,7,0.13,0,0
3,5,9,1437,1892,395,0.87,60,20,2576,900,7889,5.47,9,0.16,0,0
3,5,10,1435,1877,381,0.86,61,23,3093,1620,12876,9.01,45,0.3,0,0
3,5,11,1464,2018,502,0.91,52,25,2634,1011,9981,7.03,6,0.18,0,0
3,5,12,1525,1945,348,0.83,72,23,1768,62,315,0.22,0,0.02,0,0
3,5,13,1455,1989,479,0.9,55,27,2142,504,5314,4.4,2,0.08,0,0
3,5,14,1506,1939,383,0.88,50,20,2944,1379,12759,9.18,8,0.25,0,0
3,5,15,1470,1983,428,0.83,85,21,2436,853,7771,5.64,4,0.13,0,0
3,5,16,1443,1915,395,0.84,77,26,2853,1168,10044,7.06,9,0.2,0,0
3,5,17,1444,2009,501,0.89,64,32,2654,1096,12211,8.46,10,0.16,0,0
3,5,18,1521,1993,412,0.87,60,28,2140,323,1529,1.06,0,0.08,0,0
3,5,19,1556,2013,376,0.82,81,19,2251,574,6068,4.46,11,0.09,0,0
